Country of Origin,Altitude,Harvest Year,Variety,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Category One Defects,Color,Category Two Defects,Specialty
Colombia,1800.0,2012,Caturra,Washed / Wet,7.42,7.67,7.75,7.75,8.08,7.83,10.0,10.0,10.0,0,Green,6,Specialty
Brazil,1300.0,2011,Bourbon,Semi-washed / Semi-pulped,8.0,8.0,7.75,7.75,7.58,7.75,10.0,10.0,10.0,0,Green,2,Specialty
Brazil,1100.0,2011,Catuai,Semi-washed / Semi-pulped,8.5,8.0,7.5,7.75,7.5,7.83,10.0,10.0,10.0,0,Blue-Green,1,Specialty
Costa Rica,1200.0,2017 / 2018,Caturra,Washed / Wet,7.92,7.67,7.92,7.75,7.67,7.58,10.0,10.0,10.0,0,Bluish-Green,2,Specialty
Uganda,1750.0,2016,SL14,Washed / Wet,7.92,7.75,7.67,7.75,7.83,7.75,10.0,10.0,10.0,0,Green,1,Specialty
China,1680.0,2015,Catimor,Washed / Wet,7.75,7.92,7.67,7.83,7.75,7.67,10.0,10.0,10.0,0,Green,1,Specialty
Costa Rica,1700.0,2014,Caturra,Washed / Wet,7.92,7.83,7.83,7.83,7.58,7.58,10.0,10.0,10.0,0,Green,0,Specialty
Colombia,1800.0,2015/2016,Other,Washed / Wet,8.08,7.67,7.83,7.83,7.67,7.67,10.0,10.0,10.0,1,Green,0,Specialty
China,1100.0,2013,Other,Washed / Wet,7.67,8.0,7.75,7.83,7.75,7.58,10.0,10.0,10.0,0,Green,2,Specialty
Guatemala,1310.64,2013,Bourbon,Washed / Wet,8.17,7.83,7.67,7.83,7.67,7.83,10.0,10.0,10.0,0,Green,2,Specialty
Kenya,2000.0,2012,SL28,Washed / Wet,7.92,7.83,7.67,8.0,7.67,7.75,10.0,10.0,10.0,0,Blue-Green,0,Specialty
Mexico,1350.0,2012,Typica,Washed / Wet,8.0,7.92,7.42,8.08,7.5,7.67,10.0,10.0,10.0,0,Green,0,Specialty
Mexico,1500.0,2012,Typica,Washed / Wet,7.92,7.83,7.75,7.75,7.75,7.83,10.0,10.0,10.0,0,,4,Specialty
Guatemala,,2012,Bourbon,Washed / Wet,7.67,8.0,7.67,8.0,7.5,7.83,10.0,10.0,10.0,0,Green,2,Specialty
Brazil,,mmm,,,7.81,7.81,7.88,7.75,7.38,8.25,9.5,10.0,10.0,0,,4,Specialty
Brazil,,TEST,,,8.17,7.67,7.75,7.75,7.67,7.75,10.0,10.0,10.0,2,,0,Specialty
Costa Rica,1300.0,2016,Caturra,Washed / Wet,7.58,7.83,7.83,8.0,7.67,7.58,10.0,10.0,10.0,0,Blue-Green,3,Specialty
Indonesia,1400.0,2017,Mandheling,Other,7.67,7.67,7.83,7.58,7.83,7.83,10.0,10.0,10.0,0,Blue-Green,3,Specialty
Colombia,,2015/2016,Caturra,Natural / Dry,7.92,7.83,7.75,7.67,7.92,7.67,10.0,10.0,10.0,0,Green,1,Specialty
Colombia,1775.0,2014,Caturra,Washed / Wet,7.92,7.75,7.67,7.92,7.67,7.75,10.0,10.0,10.0,0,Green,3,Specialty
Taiwan,1200.0,2012,Typica,Washed / Wet,7.83,7.83,7.75,8.0,7.5,7.75,10.0,10.0,10.0,0,Blue-Green,0,Specialty
United States (Hawaii),,2012,Hawaiian Kona,Natural / Dry,7.92,7.92,7.5,7.83,7.5,7.92,10.0,10.0,10.0,0,Blue-Green,1,Specialty
Mexico,900.0,2012,Pacamara,Washed / Wet,7.75,7.92,7.75,7.67,7.83,7.67,10.0,10.0,10.0,2,,4,Specialty
Ethiopia,,2009/2010,,,7.5,7.75,7.83,7.92,7.92,7.75,10.0,10.0,10.0,0,,2,Specialty
Kenya,1800.0,2017 / 2018,SL28,Washed / Wet,7.33,7.58,7.83,7.75,7.75,7.92,10.0,10.0,10.0,0,Green,4,Specialty
Honduras,1500.0,2016,Caturra,,7.92,8.0,7.75,7.67,7.67,7.75,10.0,10.0,10.0,0,Green,3,Specialty
Colombia,,2016,Caturra,Washed / Wet,7.58,7.75,7.5,7.83,7.67,8.5,10.0,10.0,10.0,0,Green,5,Specialty
Honduras,1500.0,2016,Catuai,Washed / Wet,7.58,7.92,7.58,7.75,7.92,7.75,10.0,10.0,10.0,0,Green,2,Specialty
Colombia,,2016,,,7.67,7.67,7.75,7.83,7.75,7.83,10.0,10.0,10.0,0,,4,Specialty
Colombia,442.0,2015,Caturra,Natural / Dry,7.75,7.67,8.0,7.67,8.08,7.83,10.0,10.0,10.0,6,Green,0,Specialty
Colombia,1800.0,2013,Caturra,Washed / Wet,7.75,7.58,7.33,7.83,7.58,8.08,10.0,10.0,10.0,0,Green,0,Specialty
Mexico,1700.0,2012,Typica,Washed / Wet,8.0,7.75,7.75,7.83,7.5,7.67,10.0,10.0,10.0,0,Blue-Green,1,Specialty
Brazil,1275.0,2011,Yellow Bourbon,,8.17,8.0,7.5,7.75,7.5,7.67,10.0,10.0,10.0,0,,4,Specialty
Brazil,1050.0,2011,,,8.0,8.0,7.5,7.5,7.67,7.75,10.0,10.0,10.0,0,,2,Specialty
Ethiopia,1493.52,,,,7.75,7.75,7.92,7.75,7.5,7.92,10.0,10.0,10.0,0,,1,Specialty
Guatemala,1386.84,December 2009-March 2010,,,7.5,7.67,7.75,7.67,7.92,7.92,10.0,10.0,10.0,1,,1,Specialty
Taiwan,1000.0,2016,Typica,Washed / Wet,7.92,7.75,7.75,7.67,7.67,7.83,10.0,10.0,10.0,0,Blue-Green,0,Specialty
Thailand,1200.0,2015,Catimor,Natural / Dry,7.83,7.75,7.75,7.42,7.83,7.67,10.0,10.0,10.0,0,Green,0,Specialty
Colombia,2560.0,2016,Caturra,Natural / Dry,7.83,7.58,7.75,7.58,7.67,8.0,10.0,10.0,10.0,0,Green,2,Specialty
Guatemala,1500.0,2016,Caturra,Washed / Wet,7.75,7.75,7.58,7.92,7.75,7.75,10.0,10.0,10.0,0,Green,4,Specialty
Guatemala,1099.4136,2015,Caturra,Washed / Wet,7.75,7.92,7.5,8.08,7.58,7.67,10.0,10.0,10.0,0,Green,1,Specialty
China,1400.0,2015,Catimor,Natural / Dry,7.83,7.83,7.58,7.75,7.75,7.75,10.0,10.0,10.0,0,Green,1,Specialty
Colombia,1775.0,2015,Caturra,Washed / Wet,7.67,7.67,7.75,7.75,7.67,7.92,10.0,10.0,10.0,0,Green,3,Specialty
Colombia,1775.0,2015,Caturra,Washed / Wet,7.83,7.67,7.75,7.58,7.92,7.75,10.0,10.0,10.0,4,Green,2,Specialty
Colombia,1800.0,2015/2016,Other,Washed / Wet,7.83,7.75,7.83,7.58,7.67,7.75,10.0,10.0,10.0,0,Green,0,Specialty
Colombia,442.0,2015,Caturra,Natural / Dry,7.42,7.67,7.83,7.75,7.92,7.83,10.0,10.0,10.0,3,Green,0,Specialty
"Tanzania, United Republic Of",1620.0,2014,Other,Washed / Wet,7.83,7.67,7.75,7.83,7.67,7.67,10.0,10.0,10.0,0,Green,7,Specialty
"Tanzania, United Republic Of",1600.0,2014,Other,Washed / Wet,7.83,7.75,7.75,7.75,7.67,7.75,10.0,10.0,10.0,0,Green,2,Specialty
Guatemala,1219.2,2014,Bourbon,Other,7.83,7.83,7.5,7.92,7.58,7.75,10.0,10.0,10.0,0,Green,1,Specialty
Colombia,1700.0,2013,Caturra,Washed / Wet,7.58,7.5,7.75,7.83,7.92,7.83,10.0,10.0,10.0,0,Green,2,Specialty
United States (Hawaii),,2012,Hawaiian Kona,Natural / Dry,7.33,7.92,7.92,7.92,7.92,8.08,10.0,10.0,9.33,1,Bluish-Green,1,Specialty
Mexico,1450.0,2012,Typica,Semi-washed / Semi-pulped,7.83,7.92,7.67,7.83,7.5,7.75,10.0,10.0,10.0,0,Green,1,Specialty
Mexico,1170.0,2012,Bourbon,Washed / Wet,7.83,7.83,7.75,7.67,7.83,7.58,10.0,10.0,10.0,0,Green,0,Specialty
Mexico,1400.0,2012,Bourbon,Washed / Wet,7.83,7.92,7.67,7.75,7.5,7.75,10.0,10.0,10.0,0,Bluish-Green,4,Specialty
Uganda,1700.0,2012,Other,Natural / Dry,8.17,7.75,7.58,7.67,7.83,7.58,10.0,10.0,10.0,4,Green,29,Specialty
Guatemala,1700.0,2017,Bourbon,Washed / Wet,7.75,7.83,7.58,7.83,7.67,7.75,10.0,10.0,10.0,0,Green,1,Specialty
Colombia,,2016,Caturra,Washed / Wet,7.83,7.75,7.58,7.67,7.75,7.83,10.0,10.0,10.0,0,Green,2,Specialty
Costa Rica,1700.0,2016,Caturra,Washed / Wet,7.92,7.75,7.67,7.67,7.5,7.67,10.0,10.0,10.0,0,Bluish-Green,2,Specialty
Guatemala,1116.7872,2016,Caturra,Washed / Wet,7.75,7.75,7.58,8.0,7.67,7.83,10.0,10.0,10.0,0,Green,6,Specialty
Guatemala,1565.0,2016,Caturra,Washed / Wet,7.75,7.92,7.58,7.92,7.67,7.67,10.0,10.0,10.0,0,Green,10,Specialty
Guatemala,3280.0,2016,Bourbon,Washed / Wet,7.58,7.83,7.58,7.83,7.83,7.67,10.0,10.0,10.0,0,Green,2,Specialty
Colombia,1775.0,2015,Caturra,Washed / Wet,8.0,7.5,7.5,7.67,8.0,7.83,10.0,10.0,10.0,0,Bluish-Green,0,Specialty
Nicaragua,1000.0,2015,Caturra,Natural / Dry,7.67,7.83,7.83,7.5,7.67,7.83,10.0,10.0,10.0,0,Bluish-Green,0,Specialty
Brazil,1150.0,2015,Catuai,Natural / Dry,7.67,7.75,7.75,7.67,7.83,7.75,10.0,10.0,10.0,0,,16,Specialty
Costa Rica,1850.0,2014,Caturra,Washed / Wet,7.67,7.75,7.67,7.75,7.5,8.0,10.0,10.0,10.0,0,Blue-Green,0,Specialty
Ethiopia,1606.5,2014,Gesha,Natural / Dry,7.5,7.92,7.58,7.83,7.75,7.83,10.0,10.0,10.0,0,Green,5,Specialty
"Tanzania, United Republic Of",1400.0,2014,Other,Washed / Wet,7.92,7.75,7.75,7.75,7.75,7.58,10.0,10.0,10.0,0,Green,0,Specialty
Colombia,1530.0,2014/2015,Other,Washed / Wet,7.67,7.5,7.67,7.42,7.83,8.58,10.0,10.0,10.0,0,Green,4,Specialty
Guatemala,,2013,,Washed / Wet,7.67,7.75,7.67,7.75,7.75,7.75,10.0,10.0,10.0,0,Bluish-Green,0,Specialty
Kenya,250.5,2013,SL28,Washed / Wet,7.58,7.75,7.75,7.75,7.75,7.83,10.0,10.0,10.0,0,Green,0,Specialty
Brazil,1038.5,2012,Mundo Novo,Natural / Dry,7.58,7.83,7.75,7.67,7.67,8.0,10.0,10.0,10.0,0,Green,3,Specialty
Guatemala,1310.64,2013,Bourbon,Washed / Wet,7.92,7.75,7.67,7.67,7.83,7.92,10.0,10.0,10.0,0,Green,4,Specialty
El Salvador,1500.0,2013,Bourbon,Natural / Dry,8.42,8.08,7.5,7.17,7.58,8.17,9.33,10.0,10.0,0,Bluish-Green,2,Specialty
Colombia,1750.0,2012,Caturra,Washed / Wet,7.75,7.75,7.75,7.75,7.83,7.75,10.0,10.0,10.0,0,Green,2,Specialty
Guatemala,,2012,Catuai,Natural / Dry,7.83,7.5,7.5,8.0,7.83,7.83,10.0,10.0,10.0,0,Bluish-Green,2,Specialty
Uganda,1600.0,2012,Other,Washed / Wet,7.83,7.75,7.5,7.83,7.83,7.75,10.0,10.0,10.0,0,Green,1,Specialty
Indonesia,,2017,Mandheling,Natural / Dry,7.81,7.88,7.56,7.75,7.63,7.75,10.0,10.0,10.0,0,Bluish-Green,0,Specialty
Colombia,442.0,2017 / 2018,Caturra,Washed / Wet,7.83,7.5,7.42,7.5,7.83,8.5,10.0,10.0,10.0,1,Green,3,Specialty
Taiwan,968.0,2016,Typica,Washed / Wet,7.58,7.67,7.67,7.67,7.75,7.83,10.0,10.0,10.0,0,Bluish-Green,4,Specialty
Guatemala,,2016,Bourbon,Washed / Wet,8.0,7.75,7.5,7.58,7.92,7.67,10.0,10.0,10.0,0,Green,4,Specialty
Colombia,1775.0,2014,Caturra,Washed / Wet,7.92,7.75,7.67,7.75,7.67,7.67,10.0,10.0,10.0,0,,2,Specialty
Guatemala,1550.0,2014,Bourbon,Washed / Wet,7.58,7.75,7.67,8.0,7.75,7.67,10.0,10.0,10.0,0,Bluish-Green,10,Specialty
United States (Hawaii),,2012,Hawaiian Kona,Natural / Dry,7.83,7.75,7.83,7.83,7.42,8.08,9.33,10.0,10.0,1,Green,9,Specialty
Mexico,1480.0,2012,Typica,Washed / Wet,7.67,7.75,7.67,7.75,7.67,7.75,10.0,10.0,10.0,1,Green,10,Specialty
Ethiopia,1800.0,2012,Other,Natural / Dry,7.92,7.92,7.83,8.0,7.92,7.92,10.0,10.0,8.67,0,,15,Specialty
Costa Rica,,2017,,Washed / Wet,7.58,7.75,7.67,7.75,7.83,7.75,10.0,10.0,10.0,1,,13,Specialty
Ethiopia,1800.0,2017,Gesha,Natural / Dry,7.83,7.75,7.67,7.75,7.33,7.75,10.0,10.0,10.0,3,Green,1,Specialty
Honduras,1500.0,2017,Caturra,Washed / Wet,7.42,7.83,7.75,7.92,7.75,7.58,10.0,10.0,10.0,0,Green,5,Specialty
Guatemala,1706.88,2015,Caturra,Washed / Wet,7.67,7.83,7.58,7.92,7.75,7.67,10.0,10.0,10.0,0,Green,7,Specialty
Colombia,1600.0,2014/2015,Other,Washed / Wet,7.67,7.67,7.83,7.58,7.58,7.83,10.0,10.0,10.0,2,Green,7,Specialty
Guatemala,1219.2,2014,Bourbon,Natural / Dry,7.92,7.67,7.42,7.92,7.75,7.83,10.0,10.0,10.0,0,Green,1,Specialty
Guatemala,1219.2,2014,Bourbon,Other,7.75,7.83,7.5,7.83,7.58,7.67,10.0,10.0,10.0,0,Green,0,Specialty
Colombia,1480.0,2014,,Washed / Wet,7.67,7.75,7.67,7.67,7.67,7.75,10.0,10.0,10.0,0,Green,0,Specialty
Colombia,1450.0,2014,Caturra,Natural / Dry,7.58,7.42,7.75,7.92,7.75,7.92,10.0,10.0,10.0,0,Green,0,Specialty
Colombia,1775.0,2014,Caturra,Washed / Wet,7.67,7.67,7.5,7.5,7.67,7.67,10.0,10.0,10.0,0,Green,3,Specialty
Ethiopia,1550.0,2013,Other,Natural / Dry,7.75,7.75,7.5,7.58,7.67,7.92,10.0,10.0,10.0,4,Green,40,Specialty
Brazil,1260.0,2013/2014,Yellow Bourbon,Natural / Dry,7.58,7.83,7.67,7.25,8.0,7.75,10.0,10.0,10.0,0,Green,0,Specialty
Colombia,1700.0,2013,Caturra,Washed / Wet,7.67,7.83,7.67,7.75,7.67,7.75,10.0,10.0,10.0,0,Green,1,Specialty
Kenya,1200.0,2012,SL34,Washed / Wet,7.67,7.83,7.5,7.75,7.92,7.67,10.0,10.0,10.0,0,Green,2,Specialty
Thailand,,2012,Other,Washed / Wet,7.92,8.17,8.17,8.42,8.08,8.17,8.67,8.67,9.33,0,Green,0,Specialty
Kenya,1650.0,2012,SL28,Washed / Wet,7.67,7.75,7.67,7.75,7.83,7.67,10.0,10.0,10.0,0,Bluish-Green,0,Specialty
Uganda,1700.0,2012,Other,Washed / Wet,7.92,7.75,7.58,7.67,7.67,7.83,10.0,10.0,10.0,10,Green,26,Specialty
Thailand,,2011,,,7.58,7.75,7.58,7.75,7.58,7.75,10.0,10.0,10.0,0,,0,Specialty
Brazil,890.0,2017 / 2018,Bourbon,Natural / Dry,7.5,7.75,7.58,7.5,7.58,7.5,10.0,10.0,10.0,0,Green,3,Specialty
Mexico,1300.0,2017,Mundo Novo,Washed / Wet,7.83,7.83,7.58,7.92,7.42,7.5,10.0,10.0,10.0,0,Green,5,Specialty
Thailand,1350.0,2015,Catimor,Natural / Dry,7.67,7.75,7.5,7.67,7.67,7.83,10.0,10.0,10.0,0,Bluish-Green,1,Specialty
Brazil,934.0,2016,Bourbon,Natural / Dry,7.58,7.67,7.67,7.75,7.58,7.83,10.0,10.0,10.0,0,Green,7,Specialty
Taiwan,1200.0,2015,Typica,Washed / Wet,7.83,7.75,7.83,7.75,7.83,7.75,9.33,10.0,10.0,0,Green,3,Specialty
Colombia,442.0,2016,,,7.75,7.67,7.5,7.75,7.83,7.75,10.0,10.0,10.0,1,Green,2,Specialty
Colombia,,2016,,,7.75,7.58,7.5,7.83,7.75,7.92,10.0,10.0,10.0,1,,5,Specialty
Taiwan,,2014,,Natural / Dry,7.75,7.75,7.58,7.75,7.75,7.67,10.0,10.0,10.0,0,Blue-Green,0,Specialty
Colombia,,2015,,Washed / Wet,7.92,7.67,7.5,7.83,7.58,7.67,10.0,10.0,10.0,0,,0,Specialty
Colombia,,2014,,Washed / Wet,7.83,7.75,7.58,7.58,7.75,7.75,10.0,10.0,10.0,1,,1,Specialty
Colombia,1775.0,2014,Caturra,Washed / Wet,7.75,7.58,7.67,7.83,7.83,7.67,10.0,10.0,10.0,0,Green,1,Specialty
Taiwan,950.0,2014,Typica,Washed / Wet,8.0,7.92,7.92,7.92,7.67,7.33,10.0,10.0,10.0,0,Green,0,Specialty
Colombia,1550.0,2014,Caturra,Natural / Dry,7.67,7.83,7.67,7.75,7.67,7.83,10.0,10.0,10.0,0,Green,3,Specialty
Mexico,900.0,2012,Typica,Washed / Wet,7.67,7.75,7.58,7.67,7.75,7.83,10.0,10.0,10.0,10,Blue-Green,32,Specialty
Mexico,1500.0,2012,Typica,Washed / Wet,7.5,7.67,7.58,7.83,7.75,7.75,10.0,10.0,10.0,0,,2,Specialty
Mexico,1400.0,2012,Typica,Washed / Wet,7.75,7.92,7.83,7.92,7.75,7.67,9.33,10.0,10.0,0,Green,2,Specialty
Colombia,2527.0,2017,Caturra,Washed / Wet,7.92,7.58,7.5,7.83,7.58,7.67,10.0,10.0,10.0,1,Green,6,Specialty
Colombia,,2016,Caturra,,7.83,7.67,7.5,7.75,7.75,7.75,10.0,10.0,10.0,1,Green,0,Specialty
Costa Rica,1850.0,2015,Caturra,Washed / Wet,7.67,7.67,7.75,7.67,7.5,7.75,10.0,10.0,10.0,0,Blue-Green,0,Specialty
Guatemala,1500.0,2016,Bourbon,Washed / Wet,7.75,7.75,7.5,7.75,7.83,7.58,10.0,10.0,10.0,0,Green,6,Specialty
Taiwan,1200.0,2016,,,7.75,7.67,7.5,7.75,7.75,7.67,10.0,10.0,10.0,0,,0,Specialty
Brazil,1.0,2015/2016,Yellow Bourbon,Natural / Dry,7.25,7.58,7.42,8.0,7.75,7.83,10.0,10.0,10.0,0,Green,0,Specialty
Taiwan,525.0,2014,Typica,Washed / Wet,7.67,7.75,7.67,7.75,7.42,7.75,10.0,10.0,10.0,0,Green,1,Specialty
Ethiopia,1676.5,2014,,Natural / Dry,7.75,7.75,7.67,7.67,7.58,7.67,10.0,10.0,10.0,0,Green,4,Specialty
Brazil,1200.0,2014/2015,Bourbon,Semi-washed / Semi-pulped,7.67,7.67,7.58,7.5,7.83,8.17,10.0,10.0,9.33,0,Green,1,Specialty
Costa Rica,1300.0,2013,Catuai,Washed / Wet,7.83,7.42,7.5,7.83,7.75,7.83,10.0,10.0,10.0,0,Green,3,Specialty
Guatemala,1219.2,2014,Bourbon,Washed / Wet,7.58,7.83,7.33,8.0,7.58,7.75,10.0,10.0,10.0,0,Green,1,Specialty
Brazil,1260.0,2013/2014,Yellow Bourbon,Natural / Dry,7.92,7.5,7.33,7.67,8.17,7.5,10.0,10.0,10.0,0,Green,0,Specialty
Ecuador,800.0,2013,,Natural / Dry,7.5,7.67,7.58,7.75,7.83,7.83,10.0,10.0,10.0,0,Bluish-Green,0,Specialty
Colombia,1750.0,2013,Caturra,Washed / Wet,7.67,7.58,7.58,7.83,7.58,7.67,10.0,10.0,10.0,0,Green,1,Specialty
Guatemala,1310.64,2013,Bourbon,Washed / Wet,7.5,7.83,7.5,7.83,7.83,7.67,10.0,10.0,10.0,0,Green,3,Specialty
Mexico,1218.0,2012,Bourbon,Natural / Dry,7.67,8.0,7.67,7.42,7.67,7.5,10.0,10.0,10.0,0,Green,2,Specialty
Mexico,1300.0,2012,Pacas,Natural / Dry,7.67,7.58,7.5,7.75,7.75,7.75,10.0,10.0,10.0,0,,4,Specialty
Brazil,1250.0,2011/2012,Yellow Bourbon,Semi-washed / Semi-pulped,7.83,7.83,7.58,7.67,7.5,7.58,10.0,10.0,10.0,0,Green,3,Specialty
Thailand,1499.9208,2011,,,7.75,7.75,7.58,8.0,7.67,7.58,10.0,10.0,10.0,0,,2,Specialty
Thailand,,2011,,,7.5,7.83,7.58,7.58,7.75,7.83,10.0,10.0,10.0,0,,0,Specialty
Ethiopia,,2010,,,7.58,7.83,7.58,8.0,7.83,7.5,10.0,10.0,10.0,0,,3,Specialty
Kenya,1800.0,,SL28,Washed / Wet,7.75,7.58,7.5,7.58,7.75,7.75,10.0,10.0,10.0,0,Green,2,Specialty
Brazil,890.0,2017 / 2018,Bourbon,Natural / Dry,7.67,7.67,7.58,7.75,7.67,7.67,10.0,10.0,10.0,0,Green,5,Specialty
Colombia,442.0,2017,Caturra,Washed / Wet,7.83,7.83,7.58,7.58,7.58,7.58,10.0,10.0,10.0,0,Green,1,Specialty
Taiwan,750.0,2016,Typica,Natural / Dry,7.67,7.67,7.58,7.58,7.67,7.83,10.0,10.0,10.0,0,Green,0,Specialty
Colombia,,2016,,Washed / Wet,7.92,7.75,7.5,7.67,7.75,7.5,10.0,10.0,10.0,1,Green,4,Specialty
China,1650.0,2015,Catimor,Washed / Wet,7.83,7.75,7.67,7.5,7.58,7.67,10.0,10.0,10.0,0,Green,2,Specialty
Colombia,442.0,2015/2016,Caturra,Natural / Dry,7.75,7.67,7.5,7.67,7.58,7.83,10.0,10.0,10.0,0,Green,0,Specialty
Uganda,1400.0,2013,Bourbon,Natural / Dry,8.0,7.92,7.58,7.75,7.33,7.5,10.0,10.0,10.0,0,Green,0,Specialty
United States (Puerto Rico),853.44,2013,Other,Washed / Wet,7.83,7.83,7.83,7.67,8.0,8.17,9.33,9.33,10.0,0,Green,1,Specialty
Colombia,1775.0,2014,Caturra,Washed / Wet,7.67,7.67,7.67,7.92,7.5,7.67,10.0,10.0,10.0,0,Green,5,Specialty
Colombia,1550.0,2014,Other,Washed / Wet,7.67,7.42,7.42,7.42,8.0,8.33,10.0,10.0,10.0,0,Green,3,Specialty
Colombia,1750.0,2013,Caturra,Washed / Wet,7.58,7.67,7.75,7.67,7.67,7.67,10.0,10.0,10.0,0,Blue-Green,1,Specialty
Colombia,1750.0,2013,Caturra,Washed / Wet,7.75,7.67,7.75,7.58,7.42,8.0,10.0,10.0,10.0,0,Green,3,Specialty
United States (Hawaii),,2013,Hawaiian Kona,Natural / Dry,7.25,7.42,7.67,7.58,7.83,8.25,10.0,10.0,10.0,0,Bluish-Green,0,Specialty
Mexico,700.0,2012,Caturra,Natural / Dry,7.83,7.58,7.58,7.5,7.75,7.67,10.0,10.0,10.0,5,,5,Specialty
Guatemala,1300.0,2012,Caturra,Washed / Wet,7.67,7.58,7.58,7.67,7.75,7.75,10.0,10.0,10.0,0,Bluish-Green,1,Specialty
Colombia,1600.0,January 2011,,,7.83,7.83,7.58,7.33,7.42,7.67,10.0,10.0,10.0,0,,1,Specialty
Colombia,1600.0,4T/10,,,7.75,7.67,7.25,7.25,7.58,8.5,10.0,10.0,10.0,0,,1,Specialty
United States (Hawaii),,,,,7.83,7.67,7.75,7.67,7.58,7.5,10.0,10.0,10.0,0,,0,Specialty
Brazil,890.0,2017 / 2018,Bourbon,Natural / Dry,7.67,7.83,7.5,7.67,7.67,7.5,10.0,10.0,10.0,0,Green,2,Specialty
Kenya,1700.0,2017,SL28,Washed / Wet,8.08,7.67,7.67,7.58,7.25,7.67,10.0,10.0,10.0,0,Bluish-Green,0,Specialty
Honduras,1400.0,2016,Caturra,Washed / Wet,7.5,7.5,7.67,7.67,8.0,8.0,10.0,10.0,10.0,0,Green,2,Specialty
Nicaragua,1250.0,2016,Caturra,Washed / Wet,7.67,7.75,7.67,7.67,7.83,7.58,10.0,10.0,10.0,0,Green,3,Specialty
Brazil,934.0,2016,Bourbon,Natural / Dry,7.58,7.75,7.58,7.75,7.58,7.58,10.0,10.0,10.0,0,Green,3,Specialty
Taiwan,1200.0,2015,Caturra,Natural / Dry,7.5,7.67,7.33,7.92,7.83,7.67,10.0,10.0,10.0,0,Bluish-Green,0,Specialty
Costa Rica,1350.0,,,,7.33,7.67,7.67,7.5,7.67,7.5,10.0,10.0,10.0,0,Blue-Green,1,Specialty
Thailand,800.0,2014,,Washed / Wet,7.5,7.75,7.58,7.83,7.67,7.58,10.0,10.0,10.0,0,Bluish-Green,0,Specialty
Colombia,1625.0,2014/2015,Caturra,Washed / Wet,7.5,7.75,7.5,7.75,7.67,7.67,10.0,10.0,10.0,0,,4,Specialty
Guatemala,1356.6648,2014,Bourbon,Washed / Wet,8.0,7.5,7.33,8.0,8.0,8.0,9.33,10.0,10.0,0,Green,0,Specialty
Colombia,1750.0,2013,Caturra,Washed / Wet,7.83,7.75,7.67,7.58,7.58,7.67,10.0,10.0,10.0,0,Green,3,Specialty
Colombia,1900.0,2013,Caturra,Washed / Wet,7.67,7.67,7.67,7.67,7.33,7.75,10.0,10.0,10.0,0,Green,1,Specialty
Guatemala,1310.64,2013,Bourbon,Washed / Wet,7.67,7.67,7.42,7.67,8.0,7.75,10.0,10.0,10.0,1,Green,3,Specialty
Guatemala,1310.64,2013,Bourbon,Washed / Wet,7.83,7.67,7.33,7.67,7.67,7.83,10.0,10.0,10.0,0,Green,2,Specialty
Colombia,1750.0,2012,Caturra,Washed / Wet,7.75,7.75,7.58,7.83,7.17,7.75,10.0,10.0,10.0,0,Green,1,Specialty
Guatemala,1450.0,2012,Caturra,Natural / Dry,8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,9.33,0,Green,1,Specialty
Guatemala,1310.64,2012,Bourbon,Washed / Wet,7.67,8.17,7.5,7.42,7.58,7.83,10.0,10.0,10.0,0,Green,13,Specialty
Mexico,1100.0,2012,Typica,Washed / Wet,7.67,7.5,7.5,7.33,7.83,8.25,10.0,10.0,10.0,4,Green,11,Specialty
Indonesia,1400.0,2012,Typica,Washed / Wet,8.17,7.67,7.58,7.58,7.42,7.67,10.0,10.0,10.0,0,Green,0,Specialty
Guatemala,1524.0,2012,Caturra,Washed / Wet,7.67,7.5,7.33,8.0,7.67,7.67,10.0,10.0,10.0,0,Green,0,Specialty
United States (Hawaii),,,,,7.75,8.0,7.92,8.08,7.75,8.0,9.33,9.33,9.33,0,,0,Specialty
Brazil,890.0,2017 / 2018,Bourbon,Natural / Dry,7.58,7.67,7.58,7.58,7.67,7.58,10.0,10.0,10.0,0,Green,5,Specialty
Guatemala,1128.3696,2016,Caturra,Washed / Wet,7.75,7.75,7.5,7.83,7.58,7.58,10.0,10.0,10.0,0,Green,0,Specialty
Colombia,,2016,Caturra,Washed / Wet,7.75,7.75,7.58,7.58,7.67,7.58,10.0,10.0,10.0,0,Green,4,Specialty
China,1100.0,2015,Catimor,Washed / Wet,7.67,7.58,7.58,7.58,7.67,7.75,10.0,10.0,10.0,0,Green,4,Specialty
Colombia,1775.0,2015,Caturra,Washed / Wet,7.67,7.75,7.58,7.67,7.75,7.58,10.0,10.0,10.0,0,Green,3,Specialty
Mexico,1200.0,2014,Caturra,Washed / Wet,7.75,7.75,7.58,7.58,7.5,7.67,10.0,10.0,10.0,1,Green,13,Specialty
Ethiopia,1850.0,2014,Other,Washed / Wet,7.75,7.67,7.58,7.67,7.5,7.67,10.0,10.0,10.0,0,,7,Specialty
Uganda,1800.0,2013,SL14,Washed / Wet,7.67,7.67,7.42,7.75,7.75,7.67,10.0,10.0,10.0,0,Green,5,Specialty
